LineData,School,County,CasesPriorWeek,StudentsPriorWeek,TeachersPriorWeek,StaffPriorWeek,UnknownPriorWeek,SymptomsPriorWeekNo,SymptomsPriorWeekYes,SymptomsPriorWeekUnknown,CasesTotal,StudentsTotal,TeachersTotal,StaffTotal,UnknownTotal,SymptomsTotalYes,SymptomsTotalNo,SymptomsTotalUnknown
RIVERSIDE ELEMENTARY SCHOOL (CRESTVIEW) OKALOOSA 6 2 0 0 4 3 3 0,RIVERSIDE ELEMENTARY SCHOOL (CRESTVIEW),OKALOOSA,,,,,,,,,6,2,0,0,4,3,3,0
SAINT MARY SCHOOL (FORT WALTON BEACH) OKALOOSA 1 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0,SAINT MARY SCHOOL (FORT WALTON BEACH),OKALOOSA,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
SHALIMAR ELEMENTARY SCHOOL (SHALIMAR) OKALOOSA 1 1 0 0 0 1 0 0 2 1 1 0 0 2 0 0,SHALIMAR ELEMENTARY SCHOOL (SHALIMAR),OKALOOSA,1,1,0,0,0,1,0,0,2,1,1,0,0,2,0,0
SHOAL RIVER MIDDLE SCHOOL (CRESTVIEW) OKALOOSA 2 0 1 1 0 2 0 0,SHOAL RIVER MIDDLE SCHOOL (CRESTVIEW),OKALOOSA,,,,,,,,,2,0,1,1,0,2,0,0
SILVER SANDS SCHOOL OKALOOSA 1 0 0 0 1 1 0 0 1 0 0 0 1 1 0 0,SILVER SANDS SCHOOL,OKALOOSA,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0
SILVER SANDS-EXCEP. CHILDREN (FORT WALTON BEACH) OKALOOSA 1 0 0 0 1 1 0 0,SILVER SANDS-EXCEP. CHILDREN (FORT WALTON BEACH),OKALOOSA,,,,,,,,,1,0,0,0,1,1,0,0
W. C. PRYOR MIDDLE SCHOOL (FORT WALTON BEACH) OKALOOSA 2 1 0 0 1 0 2 0 3 2 0 0 1 1 2 0,W. C. PRYOR MIDDLE SCHOOL (FORT WALTON BEACH),OKALOOSA,2,1,0,0,1,0,2,0,3,2,0,0,1,1,2,0
WALKER ELEMENTARY SCHOOL (CRESTVIEW) OKALOOSA 2 1 1 0 0 2 0 0 2 1 1 0 0 2 0 0,WALKER ELEMENTARY SCHOOL (CRESTVIEW),OKALOOSA,2,1,1,0,0,2,0,0,2,1,1,0,0,2,0,0
WRIGHT ELEMENTARY SCHOOL (FORT WALTON BEACH) OKALOOSA 2 1 0 0 1 1 1 0,WRIGHT ELEMENTARY SCHOOL (FORT WALTON BEACH),OKALOOSA,,,,,,,,,2,1,0,0,1,1,1,0
CENTRAL ELEMENTARY SCHOOL (OKEECHOBEE) OKEECHOBEE 3 3 0 0 0 2 1 0,CENTRAL ELEMENTARY SCHOOL (OKEECHOBEE),OKEECHOBEE,,,,,,,,,3,3,0,0,0,2,1,0
EVERGLADES ELEMENTARY SCHOOL (OKEECHOBEE) OKEECHOBEE 3 2 1 0 0 2 1 0,EVERGLADES ELEMENTARY SCHOOL (OKEECHOBEE),OKEECHOBEE,,,,,,,,,3,2,1,0,0,2,1,0
